Time,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateAngle,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceX,GateForceY,GateForceY,GateForceY,GateForceY,GateForceY,GateForceY,GateForceY,GateForceY,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,GateAngleVel,Speed,Distance,Accel,Roll Angle,Pitch Angle,Yaw Angle,Normalized Time
,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,Boat,Boat,Boat,Boat,Boat,Boat,Boat
28100,-48.8125,-50.0625,-56.875,-50.5,-47.6875,-51.5,-49.625,-46.75,20.6875,8.75,15.5625,13.3125,21.5,13.75,11.5625,11.5,-9.125,-2.6875,-5.4375,-0.75,4.8125,-4.75,-0.5625,-0.0625,89.114586,59.583332,58.333332,72.96875,80.260414,76.71875,60,74.427086,-1.054688,0,-3.964844,-2.828125,-3.375,0.484375,-2.631577
28120,-46.5625,-48.6875,-55.625,-48.6875,-45.75,-49.4375,-48.3125,-45.0625,23.125,10.3125,15.4375,17.0625,27.75,16.375,12.6875,13.1875,-8.5625,-1.9375,-7.4375,1.1875,8.6875,-5.1875,-1.0625,0.875,99.166664,68.697914,65.729164,80.520836,83.541664,79.114586,66.770836,82.604164,-1.089844,0,-3.253906,-2.78125,-3.3125,0.484375,-1.973686
28140,-43.5625,-46.75,-54.0625,-46.625,-44.1875,-47.875,-46.6875,-43.0625,30.75,11.5625,18.1875,21.9375,35.875,22.5625,13.5,20.1875,-1.8125,-0.625,-7.375,4.3125,12.5625,-3.625,-1.6875,1.5,102.916664,76.09375,71.770836,83.645836,84.895836,79.375,72.34375,86.510414,-1.101563,0,-2.269531,-2.734375,-3.28125,0.484375,-1.315788
28160,-41.6875,-44.9375,-52.5,-44.875,-42.6875,-46.25,-45.125,-41.1875,43.625,15.4375,20.4375,27.125,43.5,28.1875,14.875,27.75,3.75,0.75,-6,6.8125,14.875,-2.375,-2.125,2.5625,101.927086,79.479164,74.322914,84.53125,83.229164,76.71875,75.15625,85.572914,-1.089844,0,-0.945313,-2.703125,-3.28125,0.484375,-0.657898
28180,-39.8125,-43.375,-50.6875,-43.25,-40.8125,-44.8125,-43.5625,-39.25,53,19.375,23.875,32.3125,50.75,33.4375,17.625,33,8.625,1.6875,-3.375,9.5625,14.9375,-1.875,-1.4375,2.3125,98.4375,80.572914,76.09375,82.239586,81.770836,73.645836,77.239586,82.447914,-1.054688,0,0.101563,-2.640625,-3.28125,0.46875,0
28200,-37.9375,-41.8125,-49.5,-41.875,-39.5,-43.5,-42,-38.0625,61.375,22.8125,26.875,37.625,55.75,38,20.5,38.1875,10.9375,2.5625,-1.4375,12.3125,14.6875,-1.375,-1.1875,1,93.697914,78.90625,76.927086,79.635414,81.302086,70.729164,78.020836,80.208336,-1.011719,0,0.667969,-2.625,-3.28125,0.453125,0.653595
28220,-36.375,-40.3125,-47.9375,-40.4375,-37.6875,-42.125,-40.3125,-36.625,67.4375,26.5,29.875,42.3125,59.625,40.4375,22.5625,43.3125,11.75,3.0625,-0.875,13.3125,14.5625,-1.625,-1.9375,-0.375,88.854164,76.614586,76.822914,78.28125,81.666664,70.729164,78.125,78.229164,-0.964844,0,0.804688,-2.609375,-3.296875,0.453125,1.30719
28240,-34.5625,-38.875,-46.4375,-38.75,-36.1875,-40.8125,-39.125,-35,71.6875,29.75,33.4375,45.6875,63.25,41.4375,24.4375,47.1875,10.875,2.6875,0.1875,13.125,14.3125,-2.1875,-2.5625,-1.4375,88.385414,75.833336,76.614586,78.802086,82.864586,70.833336,78.802086,77.8125,-0.917969,0,0.816406,-2.625,-3.296875,0.453125,1.960784
28260,-32.8125,-37.25,-44.75,-37.125,-34.375,-39.4375,-37.3125,-33.5625,74.8125,32.1875,36.125,49.375,65.8125,42.5,26.9375,50.0625,9.9375,2.3125,0.9375,12.8125,13.625,-2.8125,-2.0625,-2.4375,88.958336,77.135414,76.979164,81.25,83.28125,72.916664,79.322914,78.90625,-0.878906,0,0.578125,-2.65625,-3.3125,0.4375,2.614379
28280,-30.9375,-35.9375,-43.25,-35.6875,-32.75,-37.9375,-35.75,-31.875,77.375,34.5,38.6875,53,68.625,44.1875,29.8125,52.5625,8.4375,2.5625,1.6875,13.125,12.3125,-3.5625,-1.5,-3.9375,89.635414,78.802086,78.4375,83.645836,85.416664,75.625,80.3125,82.291664,-0.84375,0,0.296875,-2.703125,-3.328125,0.4375,3.267974
28300,-29.3125,-34.3125,-41.6875,-33.875,-31.1875,-36.25,-34.125,-30.1875,80.125,36.8125,41.4375,56.4375,70.8125,45.8125,32.8125,55.375,7.25,2.375,2.75,13.75,10.5625,-4.25,-0.8125,-5.5,91.770836,79.895836,79.21875,85.15625,86.458336,78.645836,82.03125,85.104164,-0.816406,0,0.113281,-2.734375,-3.328125,0.421875,3.921569
28320,-27.4375,-32.6875,-40.1875,-32.1875,-29.25,-34.875,-32.4375,-28.5,83.4375,39.0625,44.375,59.8125,72.5625,47.625,36.5,58.125,7.1875,2.4375,4.3125,14.0625,9.1875,-4.9375,-0.4375,-7,93.229164,81.927086,80.625,86.822914,88.697914,82.239586,84.322914,88.385414,-0.789063,0,0.203125,-2.75,-3.328125,0.40625,4.575163
